TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,Target
139.45,1253,1,4,2,27.0,3,31.0,1.0,1305.76,226,18-30,0
432.63,1200,1,7,0,29.0,0,137.0,1.0,13648.36,242,18-30,1
131.43,206,1,5,2,43.0,0,65.0,1.0,1337.5,349,40-50,0
516.72,1884,1,23,0,42.0,1,128.0,1.0,2015.69,312,40-50,0
121.82,246,1,7,2,69.0,0,123.0,3.0,8354.54,105,60+,2
374.5,1336,0,37,1,26.0,3,178.0,1.0,1671.51,135,18-30,0
166.13,1658,1,29,0,68.0,0,227.0,1.0,11822.53,345,60+,1
626.9,1886,1,6,0,23.0,3,146.0,1.0,587.11,307,18-30,0
466.85,1291,1,2,1,56.0,2,165.0,1.0,5422.53,193,50-60,2
788.84,893,1,31,2,58.0,2,231.0,1.0,1913.73,200,50-60,2
873.65,567,0,28,2,37.0,0,59.0,1.0,12139.83,215,30-40,1
525.28,631,1,7,0,69.0,2,134.0,1.0,4693.6,197,60+,2
110.17,1662,1,33,0,30.0,1,137.0,1.0,464.2,348,18-30,0
632.69,1694,1,10,0,80.0,2,76.0,1.0,4363.74,184,60+,2
124.35,2328,1,28,0,72.0,2,90.0,1.0,3319.76,312,60+,2
43.85,497,1,14,0,62.0,2,122.0,1.0,4356.98,56,60+,2
283.81,479,1,36,1,28.0,3,29.0,1.0,1519.35,263,18-30,0
168.53,1087,1,37,0,71.0,2,112.0,1.0,5962.58,346,60+,2
218.59,2232,0,10,1,40.0,1,123.0,1.0,6699.23,50,30-40,1
132.84,1528,1,28,0,21.0,3,143.0,1.0,822.73,138,18-30,0
157.37,2142,0,9,1,42.0,0,289.0,1.0,13964.31,248,40-50,1
144.77,1290,1,0,2,20.0,3,159.0,1.0,867.32,271,18-30,0
643.22,804,1,1,0,64.0,0,93.0,1.0,1035.86,84,60+,2
1392.54,2176,1,12,1,41.0,0,297.0,1.0,13347.69,173,40-50,1
208.07,1254,1,28,2,32.0,0,36.0,1.0,8478.9,320,30-40,1
94.3,2443,1,31,1,57.0,0,57.0,1.0,11088.95,112,50-60,1
295.5,2207,1,23,0,59.0,2,36.0,1.0,6280.66,46,50-60,2
30.23,2085,1,2,0,44.0,0,99.0,1.0,481.13,343,40-50,0
112.05,2472,0,31,0,26.0,3,159.0,1.0,1122.88,129,18-30,0
180.24,1207,1,31,1,58.0,1,144.0,1.0,8431.23,175,50-60,1
13.71,985,0,10,2,38.0,1,148.0,1.0,8342.79,294,30-40,1
96.54,506,1,27,1,58.0,2,95.0,1.0,7182.22,249,50-60,2
79.35,2472,1,20,2,67.0,2,70.0,1.0,1692.15,206,60+,2
101.04,1261,1,35,0,27.0,3,160.0,1.0,1695.57,21,18-30,0
74.42,2204,1,12,2,49.0,1,68.0,1.0,6264.21,300,40-50,2
39.66,896,1,41,1,52.0,1,169.0,1.0,8497.34,58,50-60,1
99.36,843,1,39,0,40.0,0,46.0,1.0,1272.12,173,30-40,0
123.85,1573,1,19,2,56.0,1,244.0,1.0,3959.62,14,50-60,2
426.93,2431,1,29,0,19.0,3,248.0,1.0,476.19,170,18-30,0
133.73,886,0,38,2,25.0,3,123.0,1.0,1872.22,180,18-30,0
222.39,1552,1,41,2,49.0,1,73.0,1.0,3117.39,269,40-50,2
215.94,1006,0,41,2,22.0,3,140.0,1.0,1841.69,262,18-30,0
6.3,2368,1,8,1,80.0,2,283.0,5.0,7697.68,350,60+,2
826.23,987,1,7,0,29.0,0,209.0,1.0,7580.59,0,18-30,1
211.36,1893,1,8,2,35.0,1,67.0,1.0,7936.91,148,30-40,1
131.46,868,1,5,1,67.0,2,258.0,1.0,6642.33,307,60+,2
202.86,929,0,22,1,61.0,0,149.0,1.0,7642.25,152,60+,2
268.39,1171,1,24,0,26.0,3,171.0,1.0,136.74,18,18-30,0
194.85,1697,1,17,2,23.0,3,130.0,4.0,319.84,99,18-30,0
137.35,604,0,34,1,40.0,0,220.0,1.0,12662.66,241,30-40,1
712.75,2472,1,30,1,44.0,0,25.0,1.0,8126.06,210,40-50,1
353.82,675,1,25,0,42.0,0,143.0,1.0,705.75,18,40-50,0
507.25,2035,1,42,1,45.0,2,143.0,1.0,5331.57,287,40-50,2
212.74,2369,1,39,1,27.0,1,128.0,1.0,7645.47,0,18-30,1
364.42,1888,1,7,0,51.0,1,146.0,1.0,8119.73,174,50-60,1
195.12,1349,1,21,0,46.0,0,144.0,1.0,6101.15,257,40-50,1
230.61,1629,1,33,1,80.0,2,204.0,1.0,2561.42,204,60+,2
739.28,1117,0,40,1,58.0,0,47.0,1.0,11905.64,290,50-60,1
390.35,1808,0,29,0,64.0,0,61.0,1.0,7095.88,219,60+,2
242.03,493,1,9,2,58.0,1,124.0,1.0,4382.73,50,50-60,2
242.39,2169,0,35,0,18.0,3,271.0,1.0,1328.73,26,<18,0
135.03,381,1,37,0,23.0,3,180.0,1.0,1278.0,116,18-30,0
83.5,884,1,9,1,61.0,3,91.0,5.0,1749.79,60,60+,2
193.54,2003,1,28,1,80.0,2,267.0,1.0,2929.51,124,60+,2
617.36,2191,1,18,1,29.0,1,61.0,1.0,8926.38,181,18-30,1
775.23,1428,0,0,2,59.0,0,38.0,1.0,5977.59,39,50-60,2
266.57,1806,1,12,0,72.0,2,100.0,1.0,7676.92,175,60+,2
153.4,615,1,23,0,45.0,1,144.0,1.0,4657.7,106,40-50,2
946.94,2347,1,5,1,53.0,2,251.0,1.0,5579.11,49,50-60,2
5.12,1910,1,27,1,34.0,1,90.0,1.0,3293.01,249,30-40,0
119.11,1196,1,11,0,57.0,1,131.0,1.0,7998.25,206,50-60,1
1096.7,580,1,7,2,24.0,3,147.0,1.0,1093.89,305,18-30,0
119.72,220,1,40,1,30.0,1,123.0,1.0,3435.34,238,18-30,0
107.4,1144,1,41,2,58.0,0,32.0,1.0,344.07,101,50-60,2
115.92,122,1,33,0,53.0,2,57.0,1.0,3897.17,160,50-60,2
438.04,1562,1,30,0,67.0,2,247.0,1.0,5358.95,11,60+,2
677.29,792,1,15,2,27.0,1,287.0,1.0,627.79,54,18-30,0
296.0,866,1,19,1,35.0,0,248.0,1.0,7418.82,32,30-40,1
299.09,95,0,4,1,36.0,1,84.0,1.0,5615.26,99,30-40,0
461.52,869,0,10,1,24.0,3,44.0,1.0,1995.18,151,18-30,0
100.52,191,1,19,0,50.0,1,110.0,1.0,453.39,305,40-50,2
85.35,1224,1,42,0,66.0,2,166.0,1.0,2173.76,3,60+,2
79.76,225,1,33,1,39.0,1,170.0,1.0,6452.14,192,30-40,1
778.49,1206,0,29,2,75.0,2,107.0,1.0,7713.67,179,60+,2
386.38,158,1,31,2,42.0,1,135.0,1.0,5528.36,224,40-50,1
165.25,2212,1,34,2,35.0,0,106.0,1.0,9939.94,312,30-40,1
14.29,411,1,20,0,34.0,1,150.0,1.0,7016.99,150,30-40,1
232.79,1758,0,16,1,55.0,2,145.0,1.0,2661.3,317,50-60,2
1237.56,2131,0,2,1,60.0,1,159.0,1.0,9410.17,322,50-60,1
92.29,304,1,0,1,54.0,1,115.0,1.0,2026.32,302,50-60,2
293.97,2128,1,31,1,68.0,2,153.0,1.0,7371.85,155,60+,2
136.32,1896,1,24,2,19.0,3,113.0,1.0,264.83,182,18-30,0
251.06,2313,1,7,2,36.0,0,34.0,1.0,10001.66,231,30-40,1
50.17,1734,0,34,0,77.0,2,35.0,1.0,7752.14,276,60+,2
21.4,2447,1,14,1,34.0,1,258.0,1.0,9594.11,317,30-40,1
73.28,486,1,4,1,21.0,3,21.0,1.0,1329.41,274,18-30,0
70.23,1702,1,22,0,38.0,0,260.0,1.0,11624.93,54,30-40,1
689.29,44,1,12,0,22.0,3,100.0,1.0,168.84,87,18-30,0
745.03,1408,1,13,2,28.0,3,231.0,1.0,160.57,173,18-30,0
54.61,2282,1,25,0,58.0,1,160.0,1.0,7135.64,57,50-60,2
54.05,761,1,21,1,27.0,3,146.0,1.0,469.14,311,18-30,0
107.47,687,1,2,2,67.0,2,144.0,1.0,7517.5,346,60+,2
611.11,1963,1,11,0,20.0,3,282.0,4.0,919.84,289,18-30,0
219.63,2107,1,5,0,48.0,0,44.0,1.0,8013.63,67,40-50,1
188.7,263,1,27,1,45.0,2,123.0,1.0,5077.06,217,40-50,2
93.52,1496,1,30,2,51.0,1,97.0,1.0,2791.2,102,50-60,2
275.92,1742,0,26,1,62.0,2,107.0,1.0,1777.38,77,60+,2
376.79,194,1,25,1,68.0,2,265.0,1.0,7749.14,142,60+,2
8.98,1525,1,11,2,66.0,3,56.0,1.0,4516.76,270,60+,2
697.32,857,1,1,2,68.0,2,91.0,1.0,2016.02,295,60+,2
17.45,1704,1,29,0,18.0,3,88.0,1.0,1959.52,197,<18,0
302.16,1960,1,18,2,80.0,2,138.0,5.0,3876.61,76,60+,2
442.74,1938,1,36,1,23.0,3,136.0,1.0,1790.27,203,18-30,0
623.9,1448,1,38,0,27.0,3,249.0,1.0,711.47,233,18-30,0
445.41,2165,1,14,0,35.0,0,235.0,3.0,12154.66,106,30-40,1
63.41,2214,1,13,0,26.0,3,36.0,1.0,1546.22,53,18-30,0
346.85,2068,1,18,0,44.0,0,88.0,1.0,7208.15,243,40-50,1
71.95,276,0,13,2,59.0,1,53.0,1.0,9267.32,1,50-60,1
7.5,318,1,9,2,63.0,2,36.0,1.0,6485.78,305,60+,2
206.46,2243,1,41,0,65.0,2,279.0,1.0,3984.38,22,60+,2
423.11,1353,1,8,0,60.0,1,47.0,1.0,412.78,275,50-60,2
35.84,596,0,7,2,54.0,2,172.0,1.0,4795.65,274,50-60,2
88.6,301,0,33,1,28.0,3,105.0,1.0,246.57,145,18-30,0
1431.3,1644,1,28,0,18.0,3,168.0,1.0,1058.13,297,<18,0
53.81,1930,0,33,0,55.0,1,37.0,2.0,4734.110000000001,342,50-60,2
22.46,891,1,27,2,54.0,2,78.0,1.0,6631.5,84,50-60,2
334.89,1318,1,13,2,21.0,3,260.0,1.0,1661.68,142,18-30,0
319.27,1315,0,29,2,54.0,2,59.0,1.0,5504.01,13,50-60,2
144.3,2334,1,28,0,18.0,3,88.0,1.0,312.19,256,<18,0
348.7,799,0,14,1,69.0,2,149.0,1.0,2445.58,36,60+,2
366.21,87,1,28,0,62.0,0,181.0,1.0,10862.99,313,60+,1
99.11,785,1,30,2,55.0,2,12.0,1.0,5414.87,193,50-60,2
539.35,931,1,25,0,55.0,2,127.0,1.0,3919.44,326,50-60,2
188.99,1046,1,28,1,58.0,1,92.0,1.0,7315.34,70,50-60,2
1416.69,103,1,26,0,46.0,1,58.0,1.0,3740.73,312,40-50,2
710.14,470,1,12,0,26.0,3,227.0,1.0,465.63,357,18-30,0
308.68,404,1,25,2,53.0,0,170.0,1.0,9992.36,234,50-60,1
166.68,593,1,23,0,57.0,2,139.0,1.0,5141.19,356,50-60,2
0.99,1705,1,20,0,45.0,1,133.0,1.0,4317.85,170,40-50,2
505.19,515,1,18,0,30.0,0,128.0,5.0,5326.68,237,18-30,0
66.58,2294,1,33,1,23.0,3,79.0,1.0,1636.32,146,18-30,0
223.43,252,1,9,1,77.0,2,178.0,1.0,7932.41,196,60+,2
659.95,1755,1,11,2,60.0,1,114.0,1.0,3927.69,4,50-60,2
634.86,1458,1,6,0,27.0,3,45.0,1.0,588.5,98,18-30,0
286.5,1990,0,4,1,30.0,1,60.0,1.0,8517.95,175,18-30,1
322.96,2225,0,30,1,76.0,2,168.0,1.0,2401.59,301,60+,2
654.48,1425,1,8,1,19.0,3,114.0,1.0,6776.41,235,18-30,0
157.97,1133,1,30,1,48.0,0,140.0,1.0,5529.92,224,40-50,2
120.9,1269,1,40,1,40.0,0,52.0,1.0,9009.42,117,30-40,1
254.77,123,1,10,1,57.0,1,57.0,1.0,5994.87,45,50-60,2
795.96,1821,1,33,2,65.0,2,119.0,1.0,5468.58,124,60+,2
149.25,664,1,29,0,39.0,1,142.0,1.0,5677.52,79,30-40,1
3.42,1779,0,35,1,43.0,0,158.0,1.0,14180.21,146,40-50,1
68.19,513,0,14,2,40.0,0,189.0,1.0,9895.1,88,30-40,1
493.42,1092,1,3,1,39.0,1,111.0,1.0,2232.84,219,30-40,0
37.57,769,1,12,0,57.0,2,42.0,1.0,7739.54,179,50-60,2
127.0,1718,0,26,1,19.0,3,68.0,5.0,431.16,230,18-30,0
96.89,530,1,13,0,59.0,3,53.0,1.0,6044.93,283,50-60,2
448.33,778,1,1,0,25.0,3,161.0,1.0,922.19,202,18-30,0
1116.48,1740,1,36,0,51.0,1,55.0,1.0,447.53,312,50-60,2
8.65,1015,1,19,2,48.0,0,273.0,1.0,10778.35,161,40-50,1
65.57,651,1,24,2,41.0,1,82.0,1.0,4734.110000000001,4,40-50,0
539.81,350,1,37,2,46.0,1,177.0,1.0,2051.25,163,40-50,2
363.53,126,1,18,0,63.0,2,142.0,1.0,1038.91,274,60+,2
64.9,299,0,11,1,51.0,2,72.0,1.0,6854.61,236,50-60,2
358.18,665,1,4,0,18.0,3,157.0,1.0,619.86,96,<18,0
167.2,128,1,35,1,30.0,0,84.0,1.0,11320.83,30,18-30,1
121.91,1173,1,6,1,60.0,0,133.0,1.0,14510.8,157,50-60,1
137.57,2348,1,21,2,54.0,1,70.0,1.0,5103.67,299,50-60,2
534.62,2307,1,28,2,55.0,0,45.0,1.0,13793.53,13,50-60,1
463.92,501,1,23,2,50.0,1,199.0,1.0,2403.39,172,40-50,2
320.14,202,1,25,2,60.0,2,96.0,1.0,3075.97,78,50-60,2
214.93,874,1,0,2,28.0,3,52.0,1.0,7835.4,149,18-30,1
660.02,1902,1,26,1,20.0,3,84.0,1.0,414.43,133,18-30,0
345.81,1158,1,33,1,40.0,1,135.0,1.0,6116.8,351,30-40,1
143.54,1913,1,30,0,71.0,2,80.0,1.0,6067.62,120,60+,2
42.55,617,1,39,1,53.0,1,29.0,1.0,7341.43,250,50-60,2
1063.25,115,0,29,2,21.0,3,128.0,1.0,1240.71,77,18-30,0
541.79,1473,1,23,0,22.0,3,125.0,1.0,1454.08,306,18-30,0
40.57,285,1,8,1,26.0,3,63.0,1.0,1476.91,15,18-30,0
120.24,1583,1,25,1,18.0,3,131.0,2.0,1943.13,118,<18,0
498.67,2305,1,24,2,28.0,3,244.0,1.0,1719.97,122,18-30,0
227.22,594,1,12,0,53.0,0,220.0,1.0,832.82,333,50-60,2
1182.86,2337,1,40,2,30.0,1,34.0,1.0,7696.16,156,18-30,1
56.94,2343,0,5,2,76.0,3,74.0,1.0,7004.63,80,60+,2
629.82,1288,1,7,1,68.0,2,159.0,1.0,6385.69,336,60+,2
59.44,1083,1,6,2,35.0,1,176.0,1.0,5472.03,12,30-40,0
186.69,2465,1,27,1,30.0,1,54.0,1.0,8602.22,110,18-30,1
230.46,764,1,23,2,19.0,3,179.0,1.0,162.53,148,18-30,0
65.09,421,0,39,2,44.0,1,159.0,1.0,9370.9,199,40-50,1
457.09,956,0,26,2,55.0,1,63.0,1.0,8570.82,143,50-60,1
552.02,2266,0,6,0,44.0,1,100.0,1.0,522.08,183,40-50,0
377.12,1491,1,15,0,34.0,1,61.0,1.0,836.67,317,30-40,0
204.56,1691,0,36,1,18.0,3,179.0,1.0,364.72,244,<18,0
420.28,894,1,42,1,35.0,0,144.0,1.0,8557.32,159,30-40,1
97.09,677,1,13,0,24.0,3,202.0,4.0,1579.57,11,18-30,0
124.59,823,1,5,1,27.0,3,171.0,1.0,129.29,179,18-30,0
73.88,6,1,5,2,39.0,0,34.0,1.0,6474.41,167,30-40,1
77.43,129,1,33,2,21.0,3,169.0,1.0,4734.110000000001,11,18-30,0
106.16,698,1,31,0,56.0,0,277.0,4.0,7487.79,149,50-60,2
245.93,1028,1,14,1,54.0,1,172.0,1.0,7986.63,335,50-60,1
622.41,2346,1,16,0,64.0,0,125.0,1.0,7322.01,86,60+,2
43.73,633,1,29,0,34.0,0,145.0,1.0,9929.43,251,30-40,1
1282.86,873,1,2,1,19.0,3,68.0,1.0,1830.98,70,18-30,0
2.03,2473,0,11,0,33.0,1,28.0,1.0,3012.31,148,30-40,0
770.65,1228,1,17,2,31.0,0,137.0,1.0,7198.8,159,30-40,1
260.31,414,1,2,1,63.0,0,113.0,1.0,10980.38,340,60+,1
356.1,2008,0,13,1,26.0,3,187.0,1.0,868.35,279,18-30,0
27.07,462,0,41,1,80.0,2,39.0,1.0,3773.29,215,60+,2
119.89,2397,1,40,0,67.0,0,60.0,1.0,6697.77,160,60+,2
106.39,295,1,41,2,37.0,0,281.0,1.0,9410.99,250,30-40,1
12.04,2141,1,13,2,37.0,1,58.0,1.0,6213.32,123,30-40,1
365.7,172,1,15,1,21.0,3,115.0,2.0,368.78,235,18-30,0
29.38,305,0,3,1,28.0,3,63.0,1.0,1663.31,285,18-30,0
319.85,1357,1,10,0,60.0,0,148.0,1.0,711.66,83,50-60,2
350.14,572,0,20,2,75.0,2,38.0,1.0,2403.25,138,60+,2
163.94,1412,0,41,1,52.0,2,73.0,1.0,5957.37,209,50-60,2
170.53,245,1,28,1,24.0,3,58.0,1.0,801.01,207,18-30,0
262.22,1278,0,3,0,40.0,1,136.0,1.0,5711.71,0,30-40,1
41.49,745,1,0,2,24.0,3,13.0,1.0,928.33,340,18-30,0
121.43,554,0,34,1,52.0,1,243.0,1.0,7365.28,66,50-60,1
350.46,2326,1,26,1,51.0,2,165.0,1.0,5839.38,10,50-60,2
220.41,1630,0,12,2,26.0,1,155.0,1.0,5116.98,222,18-30,0
33.46,338,1,39,0,72.0,2,111.0,1.0,3641.07,170,60+,2
104.79,1419,1,10,0,70.0,0,223.0,1.0,1352.19,225,60+,2
246.27,2453,1,14,2,29.0,0,141.0,1.0,7299.86,274,18-30,1
48.85,2329,1,9,0,19.0,3,176.0,1.0,1503.56,53,18-30,0
332.0,770,1,5,0,69.0,2,17.0,1.0,5943.13,41,60+,2
118.1,2046,1,22,2,54.0,1,167.0,1.0,895.66,172,50-60,2
84.59,726,0,19,1,67.0,0,10.0,1.0,5669.1,50,60+,2
295.64,2365,1,17,2,21.0,3,82.0,1.0,1061.96,258,18-30,0
514.33,1000,1,30,1,25.0,3,160.0,1.0,1592.94,354,18-30,0
992.17,409,1,35,0,43.0,0,112.0,1.0,6215.96,356,40-50,1
94.59,2274,1,42,2,39.0,0,34.0,1.0,6171.89,254,30-40,1
80.43,29,1,8,1,59.0,2,157.0,1.0,5987.67,116,50-60,2
54.25,1386,1,41,2,68.0,0,37.0,1.0,14783.33,151,60+,1
178.88,1121,0,9,1,76.0,2,93.0,4.0,4708.29,347,60+,2
518.85,1996,1,18,2,22.0,3,82.0,1.0,1806.0,15,18-30,0
10.65,742,1,21,2,54.0,0,161.0,1.0,13240.72,239,50-60,1
198.62,2472,0,40,1,27.0,3,84.0,1.0,1196.07,16,18-30,0
107.03,464,1,24,1,27.0,3,73.0,1.0,1408.07,350,18-30,0
139.57,2161,1,13,0,19.0,3,263.0,3.0,271.78,61,18-30,0
312.47,800,1,25,0,49.0,3,148.0,4.0,9419.27,103,40-50,1
346.11,30,1,9,1,41.0,1,213.0,1.0,9551.64,101,40-50,1
138.06,1347,1,5,1,44.0,1,159.0,1.0,1070.47,30,40-50,0
158.02,1756,1,27,0,49.0,1,120.0,1.0,9374.24,215,40-50,1
830.01,1321,0,6,2,66.0,2,96.0,1.0,4253.18,304,60+,2
435.5,882,1,28,0,55.0,3,112.0,1.0,6981.03,198,50-60,2
110.49,2049,1,33,2,57.0,0,48.0,1.0,10483.93,357,50-60,1
329.4,2425,1,10,2,34.0,0,68.0,1.0,9588.07,93,30-40,1
635.4,1745,1,10,0,47.0,0,106.0,1.0,1238.11,322,40-50,2
769.97,317,1,36,1,22.0,3,23.0,1.0,1244.93,209,18-30,0
175.07,1639,1,7,1,26.0,3,169.0,1.0,1040.25,113,18-30,0
7.31,1155,1,19,1,78.0,2,282.0,1.0,5757.67,53,60+,2
175.15,2103,1,11,0,27.0,3,32.0,1.0,4734.110000000001,203,18-30,0
32.54,1218,1,28,2,25.0,3,183.0,4.0,1544.88,39,18-30,0
121.82,1677,1,9,2,60.0,0,119.0,1.0,4734.110000000001,307,50-60,2
56.12,1710,1,12,0,30.0,0,102.0,1.0,8839.67,188,18-30,1
424.7,193,0,24,2,56.0,2,178.0,1.0,6239.89,123,50-60,2
35.16,2012,1,6,1,32.0,1,130.0,1.0,4734.110000000001,252,30-40,0
35.73,1067,1,24,1,65.0,0,87.0,1.0,9073.17,286,60+,2
3.44,133,1,13,0,78.0,2,108.0,1.0,7561.33,357,60+,2
1342.25,776,0,13,1,21.0,3,235.0,1.0,694.03,98,18-30,0
139.03,1609,0,20,2,50.0,1,81.0,1.0,2276.57,306,40-50,2
254.92,1722,0,35,0,28.0,1,169.0,1.0,2791.12,56,18-30,0
115.11,824,1,0,2,28.0,1,139.0,1.0,9808.97,236,18-30,1
171.11,872,1,37,0,57.0,2,171.0,1.0,6324.09,138,50-60,2
168.54,207,1,28,0,70.0,0,142.0,2.0,13406.0,112,60+,1
420.76,367,1,24,1,51.0,2,112.0,1.0,6581.55,136,50-60,2
408.46,423,1,33,1,64.0,2,28.0,1.0,3140.79,118,60+,2
1162.42,1553,0,11,2,30.0,0,45.0,1.0,10357.26,167,18-30,1
342.17,2363,0,27,1,21.0,3,247.0,1.0,461.83,130,18-30,0
580.71,1752,1,30,0,53.0,1,95.0,1.0,5670.0,271,50-60,2
821.54,1549,0,1,1,79.0,2,36.0,1.0,4040.32,334,60+,2
253.47,1090,1,1,1,20.0,3,238.0,1.0,220.51,110,18-30,0
22.81,974,1,27,2,62.0,2,75.0,1.0,3634.76,97,60+,2
266.57,1212,0,4,2,39.0,1,96.0,1.0,7180.48,48,30-40,1
374.61,1604,0,23,2,75.0,2,37.0,1.0,1389.71,301,60+,2
339.35,214,0,4,0,78.0,2,70.0,1.0,5002.7,115,60+,2
810.36,118,1,8,0,20.0,3,67.0,1.0,9239.12,57,18-30,1
9.83,1339,1,22,0,24.0,3,86.0,1.0,666.42,161,18-30,0
135.57,1091,0,4,1,51.0,0,116.0,1.0,11351.64,321,50-60,1
340.05,2021,1,11,0,43.0,1,37.0,1.0,7234.15,81,40-50,1
283.45,1951,1,7,1,27.0,1,127.0,1.0,2049.51,149,18-30,0
100.99,967,1,27,0,68.0,0,114.0,1.0,8865.27,170,60+,2
90.88,337,1,0,1,18.0,3,176.0,1.0,3908.47,51,<18,0
655.15,5,1,39,0,26.0,1,264.0,1.0,5587.44,53,18-30,0
320.55,787,1,25,2,50.0,1,118.0,1.0,438.75,112,40-50,2
41.51,1850,1,31,2,28.0,3,48.0,1.0,609.6,331,18-30,0
71.53,2030,0,17,1,68.0,2,39.0,1.0,2393.73,337,60+,2
467.13,1820,0,18,1,54.0,2,45.0,1.0,3914.84,36,50-60,2
235.4,1805,1,11,1,28.0,3,70.0,1.0,818.36,231,18-30,0
159.32,110,1,39,1,18.0,3,100.0,1.0,304.44,250,<18,0
50.83,2375,0,30,2,30.0,0,48.0,1.0,9553.42,224,18-30,1
56.89,219,0,15,1,59.0,1,56.0,1.0,3034.67,210,50-60,2
20.22,490,1,17,0,43.0,1,138.0,1.0,5515.32,10,40-50,1
50.4,582,1,35,1,36.0,0,84.0,1.0,1677.01,55,30-40,0
73.88,835,1,20,1,53.0,2,131.0,1.0,4055.55,109,50-60,2
119.61,514,1,36,0,33.0,0,53.0,1.0,9899.94,66,30-40,1
1241.05,2187,1,24,1,18.0,3,129.0,1.0,756.74,325,<18,0
116.58,1612,1,33,1,43.0,1,247.0,1.0,2620.74,28,40-50,0
1919.11,1181,1,32,0,30.0,0,161.0,1.0,11090.24,245,18-30,1
391.96,1111,1,13,0,64.0,2,79.0,1.0,2174.16,25,60+,2
156.26,17,0,41,1,46.0,1,160.0,1.0,7854.1,187,40-50,1
427.0,1388,0,28,1,49.0,1,163.0,1.0,8253.65,68,40-50,1
443.68,766,1,40,1,18.0,3,137.0,1.0,874.15,244,<18,0
101.76,341,1,30,1,31.0,0,26.0,1.0,6043.25,285,30-40,0
67.57,1516,1,5,1,37.0,1,107.0,1.0,2766.12,292,30-40,0
326.29,2312,1,10,2,56.0,1,179.0,1.0,8171.26,261,50-60,1
158.56,416,1,34,0,33.0,0,100.0,1.0,5401.21,265,30-40,0
56.02,1122,1,22,2,27.0,3,142.0,1.0,3548.02,96,18-30,0
288.28,119,1,32,2,27.0,3,36.0,1.0,160.83,11,18-30,0
245.67,18,0,32,1,24.0,3,107.0,1.0,752.25,83,18-30,0
152.18,1431,0,20,2,39.0,1,176.0,4.0,2459.84,267,30-40,0
114.35,2223,0,12,1,41.0,1,21.0,1.0,469.12,231,40-50,0
373.27,1305,0,24,2,61.0,0,79.0,1.0,8441.61,0,60+,2
504.63,2126,1,32,2,60.0,1,168.0,1.0,3806.16,88,50-60,2
126.22,806,1,1,0,46.0,1,77.0,4.0,6133.41,79,40-50,2
820.15,2379,1,18,1,47.0,0,181.0,1.0,8802.97,252,40-50,1
986.81,613,0,15,2,68.0,0,127.0,1.0,14881.77,167,60+,1
8.37,82,1,7,0,63.0,2,135.0,1.0,1106.34,300,60+,2
197.49,1202,0,14,2,53.0,2,30.0,1.0,5005.33,18,50-60,2
637.97,1992,1,27,1,58.0,2,90.0,1.0,7949.03,94,50-60,2
13.52,871,1,39,0,26.0,3,65.0,1.0,259.77,8,18-30,0
432.1,540,1,37,0,49.0,1,240.0,1.0,2114.3,234,40-50,2
375.17,1049,1,13,0,51.0,1,66.0,2.0,5495.3,303,50-60,2
642.68,324,1,14,1,50.0,0,94.0,1.0,8461.46,136,40-50,1
78.44,2192,0,38,2,52.0,2,292.0,1.0,6870.84,256,50-60,1
139.72,107,1,22,1,49.0,1,201.0,1.0,5058.83,122,40-50,2
499.99,1400,1,38,1,31.0,1,296.0,1.0,8885.0,163,30-40,1
10.07,114,1,0,2,24.0,3,49.0,1.0,530.81,155,18-30,0
120.62,395,1,33,0,23.0,3,85.0,1.0,9379.53,17,18-30,1
578.49,1937,1,26,1,59.0,2,180.0,1.0,6475.13,28,50-60,2
119.3,1576,1,23,1,34.0,1,22.0,5.0,319.04,153,30-40,0
280.92,2485,1,31,2,41.0,0,168.0,1.0,5298.85,19,40-50,1
42.42,997,1,34,2,21.0,3,102.0,1.0,490.57,169,18-30,0
77.03,1118,1,14,0,67.0,0,259.0,1.0,11310.27,104,60+,1
22.59,573,1,39,0,62.0,2,45.0,1.0,3988.75,120,60+,2
568.76,1871,1,3,0,51.0,2,155.0,1.0,7484.32,346,50-60,1
25.94,1945,0,38,2,58.0,2,211.0,5.0,4815.11,16,50-60,2
105.94,1418,1,28,1,51.0,1,207.0,1.0,5963.1,217,50-60,2
733.29,529,1,41,0,52.0,0,94.0,5.0,10427.0,50,50-60,1
350.15,2224,0,14,0,21.0,3,195.0,1.0,296.47,135,18-30,0
1151.18,1569,1,18,0,65.0,0,105.0,1.0,1100.06,40,60+,2
183.67,1159,1,36,2,19.0,3,238.0,1.0,910.26,282,18-30,0
278.27,666,1,40,1,29.0,0,123.0,1.0,6684.34,216,18-30,1
470.3,1699,1,2,0,40.0,0,88.0,1.0,8524.09,98,30-40,1
261.69,2238,1,30,0,53.0,2,84.0,1.0,5126.65,167,50-60,2
365.04,452,1,41,1,22.0,3,94.0,1.0,873.89,345,18-30,0
211.1,1712,1,24,1,57.0,2,136.0,1.0,7059.77,39,50-60,2
21.49,810,1,10,0,58.0,0,240.0,1.0,11991.24,106,50-60,1
63.58,1690,1,8,0,18.0,3,199.0,1.0,8086.04,333,<18,1
321.86,1333,1,35,0,63.0,0,167.0,1.0,12626.49,13,60+,1
12.11,2353,1,17,1,75.0,2,127.0,1.0,1730.28,48,60+,2
